Temperature,Humidity,Wind_Speed,Zone_1_Power_Consumption,Zone_2_Power_Consumption,Zone_3_Power_Consumption,Hour,Day_of_Week,Month,Is_Weekend,Is_Peak_Hour,Zone_1_lag_1,Zone_2_lag_1,Zone_3_lag_1,Zone_1_roll_mean_24h,Zone_2_roll_mean_24h,Zone_3_roll_mean_24h
4.896,76.6,0.085,20597.46835,13137.99392,14602.40964,3,6,1,1,0,20870.88608,13167.17325,14897.3494,24521.703106818182,15631.168830909091,16906.19934318182
4.805,76.2,0.081,20421.26582,12908.20669,14590.84337,3,6,1,1,0,20597.46835,13137.99392,14602.40964,24351.084204347822,15522.769921739133,16806.03457347826
4.753,75.7,0.083,20524.55696,12820.66869,14585.06024,4,6,1,1,0,20421.26582,12908.20669,14590.84337,24187.34177166667,15413.829787083334,16713.73494
4.901,74.4,0.083,20482.02532,13032.21884,14452.04819,4,6,1,1,0,20524.55696,12820.66869,14585.06024,24040.8303792,15310.1033432,16628.587952
5.203,74.1,0.085,20530.63291,12926.44377,14232.28916,4,6,1,1,0,20482.02532,13032.21884,14452.04819,23903.953261538463,15222.492400769232,16544.87488423077
5.394,71.9,0.081,20512.40506,12948.32827,14157.10843,4,6,1,1,0,20530.63291,12926.44377,14232.28916,23779.01547074074,15137.453562592593,16459.22356111111
5.156,74.0,0.079,20494.17722,12922.79635,14232.28916,4,6,1,1,0,20512.40506,12948.32827,14157.10843,23662.350813214285,15059.27051642857,16377.00516357143
5.179,74.2,0.083,20311.89873,12879.02736,14243.85542,4,6,1,1,0,20494.17722,12922.79635,14232.28916,23553.10344793104,14985.598993448277,16303.049439310344
4.934,72.9,0.082,20542.78481,12806.07903,14243.85542,5,6,1,1,0,20311.89873,12879.02736,14243.85542,23445.06329066667,14915.379939,16234.409638666666
4.718,75.8,0.08,20621.77215,12853.49544,14105.06024,5,6,1,1,0,20542.78481,12806.07903,14243.85542,23351.44140419355,14847.33797419355,16170.198212258065
5.546,74.0,0.082,20627.8481,12842.55319,14266.98795,5,6,1,1,0,20621.77215,12853.49544,14105.06024,23266.13924,14785.030395,16105.662650625
4.658,73.5,0.08,20797.97468,13137.99392,14353.73494,5,6,1,1,0,20627.8481,12842.55319,14266.98795,23186.19102363636,14726.16744939394,16049.945235454545
4.382,76.9,0.081,20858.73418,13203.64742,14538.79518,5,6,1,1,0,20797.97468,13137.99392,14353.73494,23115.94936647059,14679.456463235294,16000.05669735294
4.212,78.3,0.081,21393.41772,13575.68389,14862.6506,5,6,1,1,0,20858.73418,13203.64742,14538.79518,23051.457504,14637.29049057143,15958.306368285714
4.308,77.2,0.081,22219.74684,14068.08511,14908.91566,6,6,1,1,0,21393.41772,13575.68389,14862.6506,23005.400843333333,14607.801418333334,15927.871485833331
4.735,74.3,0.08,21928.10127,13852.88754,14729.63855,6,6,1,1,0,22219.74684,14068.08511,14908.91566,22984.16695135135,14593.21449108108,15900.332139189188
4.769,75.6,0.082,21776.20253,13626.74772,14625.54217,6,6,1,1,0,21928.10127,13852.88754,14729.63855,22956.375749210525,14573.732202894738,15869.524413157897
4.92,73.7,0.083,21654.68354,13582.97872,14480.96386,6,6,1,1,0,21776.20253,13626.74772,14625.54217,22926.1148974359,14549.45054948718,15837.627432564102
4.408,76.7,0.082,21466.32911,13539.20973,14319.03614,6,6,1,1,0,21654.68354,13582.97872,14480.96386,22894.3291135,14525.28875375,15803.71084325
4.29,77.0,0.085,20846.58228,12908.20669,14018.31325,6,6,1,1,0,21466.32911,13539.20973,14319.03614,22859.49984512195,14501.23804585366,15767.499265121953
4.304,76.0,0.082,19983.79747,12342.85714,13492.04819,7,6,1,1,0,20846.58228,12908.20669,14018.31325,22811.57323642857,14463.308727857144,15725.85197904762
4.513,74.6,0.084,18908.35443,11897.87234,12630.36145,7,6,1,1,0,19983.79747,12342.85714,13492.04819,22745.811009302328,14413.99590023256,15673.903053720933
4.489,74.3,0.082,18167.08861,11551.36778,11600.96386,7,6,1,1,0,18908.35443,11897.87234,12630.36145,22658.59608704545,14356.811273863636,15604.731653636363
4.356,72.3,0.082,18075.94937,11263.22188,10640.96386,7,6,1,1,0,18167.08861,11551.36778,11600.96386,22558.78480977778,14294.468085111112,15515.759036
4.478,72.2,0.083,18063.79747,10719.75684,10455.90361,7,6,1,1,0,18075.94937,11263.22188,10640.96386,22461.331865434782,14228.57142847826,15409.785227826089
4.583,71.0,0.083,18045.56962,10924.01216,10496.38554,7,6,1,1,0,18063.79747,10719.75684,10455.90361,22367.767303829783,14153.91579893617,15304.383491276594
4.794,72.0,0.084,18385.82278,10949.54407,10710.36145,8,6,1,1,0,18045.56962,10924.01216,10496.38554,22277.72151875,14086.626139791668,15204.216867291669
4.807,73.1,0.082,18987.34177,11347.11246,10837.59036,8,6,1,1,0,18385.82278,10949.54407,10710.36145,22198.29501387755,14022.604056734694,15112.505532244895
4.757,73.5,0.083,19576.70886,11733.7386,10941.68675,8,6,1,1,0,18987.34177,11347.11246,10837.59036,22134.075949,13969.0942248,15027.0072288
4.509,74.5,0.084,19837.97468,11945.28875,11178.79518,8,6,1,1,0,19576.70886,11733.7386,10941.68675,22083.931496274512,13925.263722352942,14946.902905686276
4.346,74.8,0.082,20166.07595,12029.17933,11514.21687,8,6,1,1,0,19837.97468,11945.28875,11178.79518,22040.74001903846,13887.187280576922,14874.439295576924
4.718,73.7,0.081,20676.4557,12426.74772,11959.51807,8,6,1,1,0,20166.07595,12029.17933,11514.21687,22005.368998867925,13852.130526792453,14811.038872452831
4.704,71.8,0.083,21296.20253,12871.73252,12283.37349,9,6,1,1,0,20676.4557,12426.74772,11959.51807,21980.75949333333,13825.73454888889,14758.232931666667
4.624,74.1,0.082,22043.5443,13203.64742,12427.95181,9,6,1,1,0,21296.20253,12871.73252,12283.37349,21968.31300309091,13808.389057454546,14713.235487272728
4.629,74.8,0.083,22651.13924,13542.85714,12826.98795,9,6,1,1,0,22043.5443,13203.64742,12427.95181,21969.65641910714,13797.590099642855,14672.426850178572
4.599,74.0,0.082,23131.13924,14046.20061,13121.92771,9,6,1,1,0,22651.13924,13542.85714,12826.98795,21981.612258070178,13793.121100350878,14640.050729122808
4.524,74.7,0.081,23641.51899,14392.70517,13648.19277,9,6,1,1,0,23131.13924,14046.20061,13121.92771,22001.431688793105,13797.484540172412,14613.876194310344
4.575,74.5,0.082,24668.35443,14830.39514,13850.60241,9,6,1,1,0,23641.51899,14392.70517,13648.19277,22029.22977864407,13807.57302542373,14597.508678644068
5.124,73.7,0.076,25275.94937,15238.90578,14162.89157,10,6,1,1,0,24668.35443,14830.39514,13850.60241,22073.2151895,13824.620060666666,14585.060240833333
5.836,71.3,2.66,25920.0,15837.08207,14428.91566,10,6,1,1,0,25275.94937,15238.90578,14162.89157,22125.71902852459,13847.805072459016,14578.13944295082
5.996,69.85,4.93,26393.92405,16059.57447,14671.80723,10,6,1,1,0,25920.0,15837.08207,14428.91566,22186.91710870968,13879.89018532258,14575.732607741937
6.22,68.81,4.924,26861.77215,16322.18845,15036.14458,10,6,1,1,0,26393.92405,16059.57447,14671.80723,22253.694996666665,13914.488348571427,14577.257601746032
6.703,68.01,4.923,27511.89873,16774.46809,15267.46988,10,6,1,1,0,26861.77215,16322.18845,15036.14458,22325.6962021875,13952.10866265625,14584.42771078125
6.993,66.14,4.918,28149.87342,17164.74164,15244.33735,10,6,1,1,0,27511.89873,16774.46809,15267.46988,22405.483933384618,13995.529576923076,14594.936051846154
7.54,64.21,4.916,28714.93671,17507.59878,15591.3253,11,6,1,1,0,28149.87342,17164.74164,15244.33735,22492.52013772727,14043.547941515151,14604.775465454546
8.22,61.9,4.916,29043.03797,17478.41945,15816.86747,11,6,1,1,0,28714.93671,17507.59878,15591.3253,22585.39202686567,14095.250192835822,14619.500089850746
9.49,59.3,2.451,29261.77215,17792.09726,15932.53012,11,6,1,1,0,29043.03797,17478.41945,15816.86747,22680.357408382355,14145.002681911765,14637.10843367647
10.65,56.03,0.084,29474.43038,17748.32827,16053.9759,11,6,1,1,0,29261.77215,17792.09726,15932.53012,22775.74023072464,14197.859125072464,14655.882661014492
11.06,53.52,0.082,29523.03797,17963.52584,16256.38554,11,6,1,1,0,29474.43038,17748.32827,16053.9759,22871.435804285717,14248.580112857142,14675.855421571428
12.4,53.26,0.08,29711.39241,18142.24924,16354.6988,11,6,1,1,0,29523.03797,17963.52584,16256.38554,22965.120341830985,14300.903292112676,14698.11640915493
13.08,54.36,0.077,29644.55696,18131.30699,16562.89157,12,6,1,1,0,29711.39241,18142.24924,16354.6988,23058.818565,14354.255319166668,14721.124497916666
14.38,54.42,0.076,29802.53165,18102.12766,16522.40964,12,6,1,1,0,29644.55696,18131.30699,16562.89157,23149.03415945205,14405.995753013698,14746.354183835616
15.02,56.46,0.074,29887.59494,18156.83891,16649.63855,12,6,1,1,0,29802.53165,18102.12766,16522.40964,23238.946287702704,14455.943481486484,14770.354933243245
15.55,58.7,0.075,30039.49367,18335.56231,16869.39759,12,6,1,1,0,29887.59494,18156.83891,16649.63855,23327.5949364,14505.288753866666,14795.412048133332
15.56,59.23,0.076,29966.58228,18204.25532,17094.93976,12,6,1,1,0,30039.49367,18335.56231,16869.39759,23415.90939342105,14555.68709013158,14822.701331578948
15.49,59.3,0.076,29996.96203,18196.96049,17418.79518,12,6,1,1,0,29966.58228,18204.25532,17094.93976,23500.98306727273,14603.071093116883,14852.210921558442
15.57,58.06,0.077,30258.22785,18466.8693,17413.01205,13,6,1,1,0,29996.96203,18196.96049,17418.79518,23584.264848846156,14649.146598205129,14885.11584794872
15.65,58.7,0.077,30404.05063,18350.15198,17436.14458,13,6,1,1,0,30258.22785,18466.8693,17413.01205,23668.74539316456,14697.472202025316,14917.114534050634
15.73,59.33,0.076,30094.17722,18331.91489,17332.04819,13,6,1,1,0,30404.05063,18350.15198,17436.14458,23752.936708625,14743.13069925,14948.602409625
15.68,58.6,0.079,30161.01266,18419.45289,17465.06024,13,6,1,1,0,30094.17722,18331.91489,17332.04819,23831.22362851852,14787.43667691358,14978.02766617284
15.7,55.29,0.074,30318.98734,18310.0304,17164.33735,13,6,1,1,0,30161.01266,18419.45289,17465.06024,23908.416177682928,14831.729557560977,15008.35733170732
15.75,52.45,0.077,30154.93671,18390.27356,16979.27711,13,6,1,1,0,30318.98734,18310.0304,17164.33735,23985.65197481928,14873.636796626506,15034.332994578312
15.83,54.99,0.079,29984.81013,18353.79939,17054.45783,14,6,1,1,0,30154.93671,18390.27356,16979.27711,24059.09584071429,14915.50152,15057.487091190476
15.79,56.66,0.076,30021.26582,18142.24924,17048.6747,14,6,1,1,0,29984.81013,18353.79939,17054.45783,24128.810126470587,14955.952083176471,15080.980864588237
15.72,55.86,0.077,30021.26582,18113.06991,16950.36145,14,6,1,1,0,30021.26582,18142.24924,17048.6747,24197.327053139536,14993.00205011628,15103.861025465116
15.8,54.06,0.075,29911.89873,18036.47416,16823.13253,14,6,1,1,0,30021.26582,18113.06991,16950.36145,24264.26887804598,15028.86489908046,15125.085168275862
15.74,55.56,0.075,29747.8481,17996.35258,16684.33735,14,6,1,1,0,29911.89873,18036.47416,16823.13253,24328.44649,15063.042277045455,15144.381161022728
15.72,56.69,0.077,29705.31646,17952.58359,16678.55422,14,6,1,1,0,29747.8481,17996.35258,16684.33735,24389.338642921342,15096.00081977528,15161.68403955056
15.64,57.26,0.077,29571.64557,17894.22492,16753.73494,15,6,1,1,0,29705.31646,17952.58359,16678.55422,24448.405063111117,15127.740628333331,15178.538152666666
15.69,57.96,0.074,29553.41772,17846.80851,16805.78313,15,6,1,1,0,29571.64557,17894.22492,16753.73494,24504.70440934066,15158.141554615384,15195.848007472528
15.69,58.93,0.075,29383.29114,17525.83587,16649.63855,15,6,1,1,0,29553.41772,17846.80851,16805.78313,24559.581727934783,15187.366195434784,15213.34730228261
15.6,58.7,0.073,29061.26582,17547.72036,16586.0241,15,6,1,1,0,29383.29114,17525.83587,16649.63855,24611.449571075267,15212.511030645162,15228.791294193548
15.39,57.6,0.075,28885.06329,17770.21277,16476.14458,15,6,1,1,0,29061.26582,17547.72036,16586.0241,24658.788041808508,15237.353683085106,15243.22994106383
15.34,58.7,0.075,28854.68354,17751.97568,16296.86747,15,6,1,1,0,28885.06329,17770.21277,16476.14458,24703.275149684207,15264.01535768421,15256.207989894736
15.33,59.23,0.077,28836.4557,17646.20061,16256.38554,16,6,1,1,0,28854.68354,17751.97568,16296.86747,24746.51898708333,15289.931611041668,15267.0481928125
15.48,57.46,0.074,28708.86076,17514.89362,16250.60241,16,6,1,1,0,28836.4557,17646.20061,16256.38554,24788.683283092785,15314.22304402062,15277.247546907216
15.54,58.3,0.076,28556.96203,17325.22796,16192.77108,16,6,1,1,0,28708.86076,17514.89362,16250.60241,24828.68509408163,15336.678866224487,15287.179739387757
15.53,58.8,0.077,28514.43038,17456.53495,16343.13253,16,6,1,1,0,28556.96203,17325.22796,16192.77108,24866.344457070707,15356.765220707071,15296.327126666663
15.48,57.73,0.075,28666.32911,17449.24012,16522.40964,16,6,1,1,0,28514.43038,17456.53495,16343.13253,24902.8253163,15377.762918,15306.7951807
15.47,58.23,0.077,29097.72152,17627.96353,16765.3012,16,6,1,1,0,28666.32911,17449.24012,16522.40964,24940.08773009901,15398.272593267326,15318.830967425742
15.44,59.07,0.076,29723.5443,17708.20669,17719.51807,17,6,1,1,0,29097.72152,17627.96353,16765.3012,24980.84884568628,15420.132308333334,15333.012048137256
15.35,59.3,0.077,30871.89873,18649.24012,19408.19277,17,6,1,1,0,29723.5443,17708.20669,17719.51807,25026.89443262136,15442.346622718444,15356.182009514563
15.34,59.0,0.079,32700.75949,20192.09726,21883.37349,17,6,1,1,0,30871.89873,18649.24012,19408.19277,25083.096397019228,15473.182137115384,15395.143651442308
15.11,59.53,0.076,35793.41772,22238.29787,23942.16867,17,6,1,1,0,32700.75949,20192.09726,21883.37349,25155.645569333334,15518.12418590476,15456.93631657143
14.93,60.83,0.077,38321.01266,23613.37386,25179.75904,17,6,1,1,0,35793.41772,22238.29787,23942.16867,25256.00191037736,15581.522050849057,15536.985678396228
14.71,61.87,0.086,39129.11392,24167.78116,25520.96386,17,6,1,1,0,38321.01266,23613.37386,25179.75904,25378.10481457944,15656.586086448597,15627.105055607475
14.48,63.27,0.08,39560.50633,24455.92705,25544.09639,18,6,1,1,1,39129.11392,24167.78116,25520.96386,25505.428972962964,15735.39344824074,15718.714859351852
14.29,63.94,0.078,39517.97468,24463.22188,25619.27711,18,6,1,1,1,39560.50633,24455.92705,25544.09639,25634.37463678899,15815.398343669724,15808.855974311928
14.09,64.87,0.078,39596.96203,24000.0,25798.55422,18,6,1,1,1,39517.97468,24463.22188,25619.27711,25760.58918263636,15894.014921272728,15898.041621
13.89,66.11,0.076,39469.36709,24251.67173,25792.77108,18,6,1,1,1,39596.96203,24000.0,25798.55422,25885.24119027027,15967.041813873877,15987.2354281982
13.79,66.74,0.076,39682.02532,24401.21581,25734.93976,18,6,1,1,1,39469.36709,24251.67173,25792.77108,26006.52802866072,16041.011723839283,16074.784853660714
13.54,66.71,0.076,39888.60759,24598.17629,25885.3012,18,6,1,1,1,39682.02532,24401.21581,25734.93976,26127.550128584076,16114.99583079646,16160.27295017699
12.51,68.35,0.077,39991.89873,24477.81155,25989.39759,19,6,1,1,1,39888.60759,24598.17629,25885.3012,26248.261158947367,16189.409694473685,16245.580215526315
12.06,70.2,0.078,40210.63291,24729.48328,26035.66265,19,6,1,1,1,39991.89873,24477.81155,25989.39759,26367.771050869564,16261.482754086956,16330.309062260869
11.75,70.7,0.079,40216.70886,24671.12462,26191.80723,19,6,1,1,1,40210.63291,24729.48328,26035.66265,26487.10606689655,16334.48275862069,16413.975903534483
11.61,70.7,0.077,40435.44304,24678.41945,26105.06024,19,6,1,1,1,40216.70886,24671.12462,26191.80723,26604.45309931624,16405.736107863246,16497.54711145299
11.5,70.6,0.078,40514.43038,24842.55319,26342.16867,19,6,1,1,1,40435.44304,24678.41945,26105.06024,26721.664878474578,16475.84359381356,16578.96671423729
11.43,70.7,0.076,40544.81013,24755.0152,26452.04819,19,6,1,1,1,40514.43038,24842.55319,26342.16867,26837.57047092437,16546.152077815124,16661.01042815126
11.42,71.2,0.076,40283.5443,24919.14894,26469.39759,20,6,1,1,1,40544.81013,24755.0152,26452.04819,26951.79746808333,16614.559270499998,16742.6024095
11.69,71.1,0.078,40216.70886,25137.99392,26573.49398,20,6,1,1,1,40283.5443,24919.14894,26469.39759,27061.977193966944,16683.192242975205,16822.989146528926
12.05,69.82,0.077,40477.97468,25437.08207,26434.6988,20,6,1,1,1,40216.70886,25137.99392,26573.49398,27169.80286336066,16752.493896065575,16902.911317295082
11.87,69.98,0.076,40611.64557,25597.56839,26533.01205,20,6,1,1,1,40477.97468,25437.08207,26434.6988,27277.999382195125,16823.10030398374,16980.405524471546
11.61,71.2,0.078,40435.44304,25706.99088,26515.66265,20,6,1,1,1,40611.64557,25597.56839,26533.01205,27385.528786935483,16893.862143387098,17057.442673870966
11.5,72.0,0.078,40204.55696,25637.68997,26434.6988,20,6,1,1,1,40435.44304,25706.99088,26515.66265,27489.92810096,16964.36717328,17133.10843368
11.43,72.0,0.075,39584.81013,25396.96049,25966.26506,21,6,1,1,1,40204.55696,25637.68997,26434.6988,27590.837853809524,17033.20306849206,17206.930579444444
11.29,72.2,0.075,39274.93671,25309.42249,25578.79518,21,6,1,1,1,39584.81013,25396.96049,25966.26506,27685.2785803937,17099.059426141732,17275.901717086617
11.49,73.1,0.077,39141.26582,24900.91185,25607.71084,21,6,1,1,1,39274.93671,25309.42249,25578.79518,27775.82278453125,17163.202887578125,17340.768072265626
12.24,70.1,0.077,38643.03797,24827.96353,25359.03614,21,6,1,1,1,39141.26582,24900.91185,25607.71084,27863.92699410853,17223.1851275969,17404.85289992248
11.84,68.78,0.074,38011.13924,24455.92705,24971.56627,21,6,1,1,1,38643.03797,24827.96353,25359.03614,27946.843232384614,17281.683423000002,17466.038924846154
12.2,68.78,0.074,37622.27848,24127.65957,24584.09639,21,6,1,1,1,38011.13924,24455.92705,24971.56627,28023.669919465647,17336.44864152672,17523.333026717555
13.1,65.44,0.074,36953.92405,24000.0,23976.86747,22,6,1,1,0,37622.27848,24127.65957,24584.09639,28096.38665098485,17387.897209166666,17576.823658257574
13.2,63.84,0.074,36394.93671,23872.34043,23415.90361,22,6,1,1,0,36953.92405,24000.0,23976.86747,28162.984676541357,17437.61226774436,17624.94428842105
13.18,63.97,0.075,35289.11392,23306.99088,22698.79518,22,6,1,1,0,36394.93671,23872.34043,23415.90361,28224.417154402985,17485.63262716418,17668.160402761194
12.64,66.77,0.072,34438.48101,22975.07599,22322.89157,22,6,1,1,0,35289.11392,23306.99088,22698.79518,28276.74824155556,17528.75379940741,17705.424364074075
12.39,68.04,0.074,33678.98734,22489.9696,21813.9759,22,6,1,1,0,34438.48101,22975.07599,22322.89157,28322.05510014706,17568.80028610294,17739.37632882353
12.24,69.18,0.077,33077.46835,21760.48632,21264.57831,22,6,1,1,0,33678.98734,22489.9696,21813.9759,28361.156795328465,17604.72123,17769.117931532848
12.11,69.94,0.074,32117.46835,21253.49544,20686.26506,23,6,1,1,0,33077.46835,21760.48632,21264.57831,28395.33296601449,17634.835469782607,17794.447354565214
12.07,70.7,0.076,31357.97468,20768.38906,20397.10843,23,6,1,1,0,32117.46835,21253.49544,20686.26506,28422.110918417264,17660.868994748198,17815.251798489207
11.99,70.8,0.075,30701.77215,20337.99392,19905.54217,23,6,1,1,0,31357.97468,20768.38906,20397.10843,28443.08137385714,17683.065566642857,17833.693631571427
11.32,74.7,0.075,29681.01266,19823.70821,19252.04819,23,6,1,1,0,30701.77215,20337.99392,19905.54217,28459.100457375887,17701.894845744682,17848.38759283688
11.37,74.8,0.074,28830.37975,19488.1459,18847.22892,23,6,1,1,0,29681.01266,19823.70821,19252.04819,28467.705472887323,17716.83719338028,17858.27252661972
11.41,74.1,0.076,27748.86076,18962.91793,18384.57831,23,6,1,1,0,28830.37975,19488.1459,18847.22892,28470.24165664336,17729.22396755245,17865.188305594405
11.01,75.8,0.076,26703.79747,18047.41641,17916.14458,0,0,1,0,0,27748.86076,18962.91793,18384.57831,28465.23206708333,17737.791286736112,17868.795180625002
10.74,77.3,0.078,26169.11392,17507.59878,17349.39759,0,0,1,0,0,26703.79747,18047.41641,17916.14458,28414.177214791664,17751.114488333333,17852.65060229167
10.47,78.2,0.078,25622.27848,17120.97264,16985.06024,0,0,1,0,0,26169.11392,17507.59878,17349.39759,28388.860759097224,17738.145896597223,17833.333333194445
10.31,79.2,0.076,24972.1519,16785.41033,16586.0241,0,0,1,0,0,25622.27848,17120.97264,16985.06024,28364.5147675,17725.05065847222,17814.698795069446
10.63,79.3,0.079,24437.46835,16453.49544,16366.26506,0,0,1,0,0,24972.1519,16785.41033,16586.0241,28341.89873375,17714.108409236112,17798.634538055558
10.84,78.4,0.073,23914.93671,16132.5228,16106.0241,0,0,1,0,0,24437.46835,16453.49544,16366.26506,28321.77215145833,17704.255319027776,17784.216867361112
10.94,78.1,0.074,23629.36709,15720.36474,15643.37349,1,0,1,0,0,23914.93671,16132.5228,16106.0241,28302.953586041665,17695.339412291665,17770.1606425
11.12,77.9,0.073,23118.98734,15304.55927,15307.95181,1,0,1,0,0,23629.36709,15720.36474,15643.37349,28286.49788986111,17686.499493333333,17754.176706736107
11.02,77.5,0.081,22736.20253,15136.77812,15093.9759,1,0,1,0,0,23118.98734,15304.55927,15307.95181,28270.33755229167,17677.077000902776,17739.236947708334
10.5,78.9,0.076,22049.62025,14637.08207,14972.53012,1,0,1,0,0,22736.20253,15136.77812,15093.9759,28256.160337083333,17669.503546041666,17725.823293055557
10.22,79.8,0.078,21855.18987,14414.58967,14833.73494,1,0,1,0,0,22049.62025,14637.08207,14972.53012,28240.675105,17660.46099284722,17713.172690625
10.42,81.3,0.075,21685.06329,14250.45593,14625.54217,1,0,1,0,0,21855.18987,14414.58967,14833.73494,28226.497889791663,17653.368794305556,17700.64257013889
10.86,80.0,0.076,21533.16456,14294.22492,14405.78313,2,0,1,0,0,21685.06329,14250.45593,14625.54217,28213.586497361117,17646.681864236114,17688.35341354167
11.17,77.3,0.077,21107.8481,14057.14286,14342.16867,2,0,1,0,0,21533.16456,14294.22492,14405.78313,28203.375526944445,17640.602836874998,17676.46586333333
11.1,75.6,0.077,20986.32911,13823.70821,14191.80723,2,0,1,0,0,21107.8481,14057.14286,14342.16867,28194.89451430556,17636.068895624998,17666.184738819444
11.14,75.0,0.081,20725.06329,13783.58663,14128.19277,2,0,1,0,0,20986.32911,13823.70821,14191.80723,28187.215189375,17631.914893611112,17655.903614305556
11.21,75.2,0.077,20889.11392,13608.51064,14081.92771,2,0,1,0,0,20725.06329,13783.58663,14128.19277,28179.02953534722,17629.685916944447,17645.70281111111
10.71,77.4,0.079,20433.41772,13448.02432,13844.81928,2,0,1,0,0,20889.11392,13608.51064,14081.92771,28173.502109166668,17627.203647430557,17635.783132361114
10.7,77.7,0.079,20372.65823,13524.62006,13948.91566,3,0,1,0,0,20433.41772,13448.02432,13844.81928,28166.20253111111,17626.063829861112,17625.421686597223
10.58,78.6,0.075,20135.6962,13480.85106,13966.26506,3,0,1,0,0,20372.65823,13524.62006,13948.91566,28161.09704590278,17625.987842013892,17617.14859423611
10.59,79.5,0.078,20129.62025,13517.32523,13827.46988,3,0,1,0,0,20135.6962,13480.85106,13966.26506,28155.105484722226,17626.747720416668,17609.558232777777
10.68,79.4,0.079,20117.46835,13484.49848,13746.50602,3,0,1,0,0,20129.62025,13517.32523,13827.46988,28149.95780534722,17628.97669715278,17601.325301041667
10.52,79.8,0.076,20087.08861,13437.08207,13642.40964,3,0,1,0,0,20117.46835,13484.49848,13746.50602,28144.72573777778,17631.180344583336,17593.333333125003
10.34,80.6,0.078,19740.75949,13353.19149,13636.62651,3,0,1,0,0,20087.08861,13437.08207,13642.40964,28141.181434027774,17633.257345625,17586.666666458335
